 x 	 y 	 u 	 v 	 m 
  0.0617 	 0.0370 	 0.0060 	 0.0023 	 63.9699
  0.1235 	 0.0370 	 0.0011 	 -0.0006 	 12.8521
  0.1852 	 0.0370 	 0.0015 	 0.0001 	 15.5969
  0.2469 	 0.0370 	 0.0016 	 0.0002 	 16.8356
  0.3086 	 0.0370 	 0.0014 	 0.0003 	 15.2643
  0.3704 	 0.0370 	 0.0009 	 0.0004 	 11.5861
  0.4321 	 0.0370 	 0.0004 	 0.0003 	 6.9215
  0.4938 	 0.0370 	 -0.0000 	 0.0002 	 3.6688
  0.5556 	 0.0370 	 -0.0004 	 0.0002 	 6.8011
  0.6173 	 0.0370 	 -0.0010 	 0.0003 	 11.9891
  0.6790 	 0.0370 	 -0.0015 	 0.0004 	 16.6665
  0.7407 	 0.0370 	 -0.0019 	 0.0003 	 19.6964
  0.8025 	 0.0370 	 -0.0020 	 0.0001 	 20.0848
  0.8642 	 0.0370 	 -0.0017 	 0.0001 	 17.0279
  0.9259 	 0.0370 	 -0.0016 	 -0.0007 	 17.5290
  0.0617 	 0.0741 	 0.0001 	 0.0024 	 24.0198
  0.1235 	 0.0741 	 0.0013 	 -0.0007 	 14.4424
  0.1852 	 0.0741 	 0.0021 	 0.0000 	 20.7130
  0.2469 	 0.0741 	 0.0022 	 0.0004 	 22.8342
  0.3086 	 0.0741 	 0.0020 	 0.0007 	 21.4943
  0.3704 	 0.0741 	 0.0015 	 0.0009 	 17.7029
  0.4321 	 0.0741 	 0.0008 	 0.0009 	 13.0185
  0.4938 	 0.0741 	 0.0001 	 0.0008 	 10.3272
  0.5556 	 0.0741 	 -0.0007 	 0.0009 	 12.6656
  0.6173 	 0.0741 	 -0.0015 	 0.0009 	 17.8555
  0.6790 	 0.0741 	 -0.0021 	 0.0009 	 22.8256
  0.7407 	 0.0741 	 -0.0025 	 0.0007 	 25.8409
  0.8025 	 0.0741 	 -0.0026 	 0.0003 	 25.7263
  0.8642 	 0.0741 	 -0.0022 	 -0.0001 	 21.6270
  0.9259 	 0.0741 	 -0.0012 	 -0.0008 	 14.5992
  0.0617 	 0.1111 	 0.0008 	 -0.0004 	 8.7726
  0.1235 	 0.1111 	 0.0020 	 -0.0009 	 22.2851
  0.1852 	 0.1111 	 0.0028 	 -0.0001 	 28.1860
  0.2469 	 0.1111 	 0.0031 	 0.0006 	 31.2210
  0.3086 	 0.1111 	 0.0028 	 0.0012 	 30.1942
  0.3704 	 0.1111 	 0.0021 	 0.0016 	 26.1301
  0.4321 	 0.1111 	 0.0012 	 0.0016 	 21.1108
  0.4938 	 0.1111 	 0.0001 	 0.0016 	 18.3987
  0.5556 	 0.1111 	 -0.0010 	 0.0016 	 20.6108
  0.6173 	 0.1111 	 -0.0020 	 0.0017 	 26.0889
  0.6790 	 0.1111 	 -0.0028 	 0.0015 	 31.5146
  0.7407 	 0.1111 	 -0.0033 	 0.0010 	 34.4875
  0.8025 	 0.1111 	 -0.0033 	 0.0004 	 33.5605
  0.8642 	 0.1111 	 -0.0028 	 -0.0003 	 28.4093
  0.9259 	 0.1111 	 -0.0019 	 -0.0011 	 22.0111
  0.0617 	 0.1481 	 0.0013 	 -0.0016 	 20.1849
