 x 	 y 	 u 	 v 	 m 
  0.1852 	 0.4290 	 0.0000 	 0.0000 	 0.0000  
  0.2469 	 0.4287 	 0.0000 	 0.0000 	 0.0000  
  0.3086 	 0.4339 	 0.0000 	 0.0000 	 0.0000  
  0.3704 	 0.4456 	 0.0000 	 0.0000 	 0.0000  
  0.4321 	 0.4577 	 0.0000 	 0.0000 	 0.0000  
  0.4938 	 0.4626 	 0.0000 	 0.0000 	 0.0000  
  0.5556 	 0.4573 	 -0.0000 	 0.0000 	 0.0000  
  0.6173 	 0.4450 	 0.0000 	 0.0000 	 0.0000  
  0.6790 	 0.4335 	 0.0000 	 0.0000 	 0.0000  
  0.7407 	 0.4287 	 0.0000 	 0.0000 	 0.0000  
  0.8025 	 0.4291 	 0.0000 	 0.0000 	 0.0000  
 
