 x 	 y 	 u 	 v 	 m 
  0.0617 	 0.0370 	 0.0021 	 0.0011 	 24.0709
  0.1235 	 0.0370 	 0.0008 	 -0.0007 	 10.1946
  0.1852 	 0.0370 	 -0.0002 	 0.0000 	 2.4703
  0.2469 	 0.0370 	 -0.0004 	 0.0002 	 4.7228
  0.3086 	 0.0370 	 -0.0006 	 -0.0000 	 5.7530
  0.3704 	 0.0370 	 -0.0006 	 -0.0001 	 5.7654
  0.4321 	 0.0370 	 -0.0004 	 -0.0001 	 4.2764
  0.4938 	 0.0370 	 -0.0002 	 -0.0001 	 2.3155
  0.5556 	 0.0370 	 0.0000 	 -0.0001 	 1.2524
  0.6173 	 0.0370 	 0.0001 	 -0.0001 	 1.2579
  0.6790 	 0.0370 	 0.0000 	 0.0000 	 0.1199
  0.7407 	 0.0370 	 -0.0003 	 0.0001 	 2.9591
  0.8025 	 0.0370 	 -0.0006 	 0.0003 	 6.7482
  0.8642 	 0.0370 	 -0.0009 	 -0.0000 	 9.0164
  0.9259 	 0.0370 	 -0.0020 	 -0.0008 	 21.5079
  0.0617 	 0.0741 	 0.0016 	 0.0014 	 21.4533
  0.1235 	 0.0741 	 0.0016 	 -0.0002 	 16.6541
  0.1852 	 0.0741 	 0.0018 	 0.0000 	 18.0303
  0.2469 	 0.0741 	 0.0015 	 0.0004 	 15.6224
  0.3086 	 0.0741 	 0.0009 	 0.0002 	 9.3297
  0.3704 	 0.0741 	 0.0004 	 0.0000 	 4.2197
  0.4321 	 0.0741 	 0.0001 	 -0.0001 	 1.8643
  0.4938 	 0.0741 	 -0.0000 	 -0.0002 	 1.6527
  0.5556 	 0.0741 	 -0.0002 	 -0.0001 	 2.5768
  0.6173 	 0.0741 	 -0.0006 	 0.0001 	 6.0099
  0.6790 	 0.0741 	 -0.0012 	 0.0003 	 12.2814
  0.7407 	 0.0741 	 -0.0020 	 0.0004 	 20.6121
  0.8025 	 0.0741 	 -0.0027 	 0.0005 	 27.7809
  0.8642 	 0.0741 	 -0.0028 	 -0.0001 	 28.4459
  0.9259 	 0.0741 	 -0.0024 	 -0.0006 	 24.2292
  0.0617 	 0.1111 	 0.0011 	 -0.0005 	 12.4610
  0.1235 	 0.1111 	 0.0042 	 -0.0011 	 43.1950
  0.1852 	 0.1111 	 0.0050 	 -0.0001 	 49.9274
  0.2469 	 0.1111 	 0.0045 	 0.0008 	 45.4671
  0.3086 	 0.1111 	 0.0032 	 0.0008 	 33.2898
  0.3704 	 0.1111 	 0.0019 	 0.0005 	 20.1288
  0.4321 	 0.1111 	 0.0009 	 0.0002 	 9.5103
  0.4938 	 0.1111 	 0.0001 	 0.0001 	 1.8707
  0.5556 	 0.1111 	 -0.0006 	 0.0003 	 6.9596
  0.6173 	 0.1111 	 -0.0017 	 0.0006 	 17.8331
  0.6790 	 0.1111 	 -0.0031 	 0.0010 	 32.3766
  0.7407 	 0.1111 	 -0.0046 	 0.0012 	 47.9324
  0.8025 	 0.1111 	 -0.0058 	 0.0009 	 58.4808
  0.8642 	 0.1111 	 -0.0058 	 -0.0004 	 57.7595
  0.9259 	 0.1111 	 -0.0042 	 -0.0017 	 45.1922
  0.0617 	 0.1481 	 0.0027 	 -0.0037 	 45.9859
  0.1235 	 0.1481 	 0.0071 	 -0.0028 	 76.6102
  0.1852 	 0.1481 	 0.0090 	 -0.0005 	 90.4333
  0.2469 	 0.1481 	 0.0088 	 0.0014 	 89.3471
  0.3086 	 0.1481 	 0.0069 	 0.0020 	 71.9225
  0.3704 	 0.1481 	 0.0044 	 0.0017 	 47.2111
  0.4321 	 0.1481 	 0.0022 	 0.0012 	 24.5862
  0.4938 	 0.1481 	 0.0004 	 0.0009 	 9.7320
  0.5556 	 0.1481 	 -0.0014 	 0.0011 	 17.4989
  0.6173 	 0.1481 	 -0.0035 	 0.0017 	 38.8948
  0.6790 	 0.1481 	 -0.0061 	 0.0023 	 65.7173
  0.7407 	 0.1481 	 -0.0087 	 0.0024 	 89.7354
  0.8025 	 0.1481 	 -0.0099 	 0.0012 	 99.3222
  0.8642 	 0.1481 	 -0.0089 	 -0.0011 	 90.1809
  0.9259 	 0.1481 	 -0.0062 	 -0.0036 	 71.2154
  0.0617 	 0.1852 	 0.0037 	 -0.0070 	 78.7895
  0.1235 	 0.1852 	 0.0088 	 -0.0054 	 103.7372
  0.1852 	 0.1852 	 0.0130 	 -0.0020 	 131.9343
  0.2469 	 0.1852 	 0.0145 	 0.0017 	 145.9478
  0.3086 	 0.1852 	 0.0123 	 0.0038 	 129.0084
  0.3704 	 0.1852 	 0.0082 	 0.0039 	 90.8736
  0.4321 	 0.1852 	 0.0041 	 0.0031 	 51.1537
  0.4938 	 0.1852 	 0.0007 	 0.0025 	 25.6143
  0.5556 	 0.1852 	 -0.0026 	 0.0028 	 37.9483
  0.6173 	 0.1852 	 -0.0064 	 0.0038 	 74.4757
  0.6790 	 0.1852 	 -0.0107 	 0.0046 	 116.8816
  0.7407 	 0.1852 	 -0.0141 	 0.0038 	 146.4832
  0.8025 	 0.1852 	 -0.0145 	 0.0009 	 144.8429
  0.8642 	 0.1852 	 -0.0112 	 -0.0031 	 116.6944
  0.9259 	 0.1852 	 -0.0066 	 -0.0062 	 90.2628
  0.0617 	 0.2222 	 0.0024 	 -0.0095 	 97.6486
  0.1235 	 0.2222 	 0.0082 	 -0.0092 	 123.6153
  0.1852 	 0.2222 	 0.0154 	 -0.0055 	 163.7747
  0.2469 	 0.2222 	 0.0197 	 0.0009 	 197.1411
  0.3086 	 0.2222 	 0.0184 	 0.0059 	 192.7797
  0.3704 	 0.2222 	 0.0130 	 0.0073 	 149.1696
  0.4321 	 0.2222 	 0.0068 	 0.0063 	 92.2182
  0.4938 	 0.2222 	 0.0010 	 0.0053 	 53.8212
  0.5556 	 0.2222 	 -0.0045 	 0.0057 	 72.1747
  0.6173 	 0.2222 	 -0.0104 	 0.0070 	 125.8277
  0.6790 	 0.2222 	 -0.0162 	 0.0076 	 178.7112
  0.7407 	 0.2222 	 -0.0194 	 0.0049 	 199.9846
  0.8025 	 0.2222 	 -0.0177 	 -0.0009 	 176.7998
  0.8642 	 0.2222 	 -0.0116 	 -0.0069 	 134.7150
  0.9259 	 0.2222 	 -0.0049 	 -0.0095 	 106.9719
  0.0617 	 0.2593 	 0.0010 	 -0.0117 	 117.1737
  0.1235 	 0.2593 	 0.0072 	 -0.0137 	 155.1550
  0.1852 	 0.2593 	 0.0147 	 -0.0099 	 177.3732
  0.2469 	 0.2593 	 0.0203 	 -0.0013 	 203.0083
  0.3086 	 0.2593 	 0.0212 	 0.0072 	 224.1308
  0.3704 	 0.2593 	 0.0169 	 0.0110 	 201.7174
  0.4321 	 0.2593 	 0.0095 	 0.0107 	 142.9832
  0.4938 	 0.2593 	 0.0014 	 0.0096 	 97.1351
  0.5556 	 0.2593 	 -0.0066 	 0.0100 	 119.6497
  0.6173 	 0.2593 	 -0.0142 	 0.0112 	 180.9353
  0.6790 	 0.2593 	 -0.0196 	 0.0103 	 221.0079
  0.7407 	 0.2593 	 -0.0202 	 0.0047 	 207.5342
  0.8025 	 0.2593 	 -0.0163 	 -0.0039 	 167.6000
  0.8642 	 0.2593 	 -0.0102 	 -0.0111 	 150.8688
  0.9259 	 0.2593 	 -0.0039 	 -0.0132 	 137.7583
  0.0617 	 0.2963 	 0.0026 	 -0.0148 	 150.2534
  0.1235 	 0.2963 	 0.0074 	 -0.0168 	 183.5614
  0.1852 	 0.2963 	 0.0101 	 -0.0126 	 161.9001
  0.2469 	 0.2963 	 0.0138 	 -0.0040 	 143.8874
  0.3086 	 0.2963 	 0.0176 	 0.0063 	 187.5094
  0.3704 	 0.2963 	 0.0170 	 0.0136 	 217.5107
  0.4321 	 0.2963 	 0.0107 	 0.0155 	 188.8041
  0.4938 	 0.2963 	 0.0016 	 0.0151 	 151.9497
  0.5556 	 0.2963 	 -0.0078 	 0.0153 	 171.6993
  0.6173 	 0.2963 	 -0.0154 	 0.0151 	 215.4999
  0.6790 	 0.2963 	 -0.0178 	 0.0110 	 209.4341
  0.7407 	 0.2963 	 -0.0144 	 0.0023 	 145.5209
  0.8025 	 0.2963 	 -0.0096 	 -0.0067 	 116.4680
  0.8642 	 0.2963 	 -0.0073 	 -0.0131 	 150.0285
  0.9259 	 0.2963 	 -0.0056 	 -0.0156 	 166.0016
  0.0617 	 0.3333 	 0.0051 	 -0.0182 	 189.0407
  0.1235 	 0.3333 	 0.0064 	 -0.0170 	 181.2887
  0.1852 	 0.3333 	 0.0039 	 -0.0122 	 127.7112
  0.2469 	 0.3333 	 0.0042 	 -0.0059 	 72.7844
  0.3086 	 0.3333 	 0.0092 	 0.0034 	 98.0842
  0.3704 	 0.3333 	 0.0126 	 0.0138 	 186.7258
  0.4321 	 0.3333 	 0.0095 	 0.0194 	 216.2391
  0.4938 	 0.3333 	 0.0015 	 0.0207 	 207.2661
  0.5556 	 0.3333 	 -0.0072 	 0.0204 	 216.3603
  0.6173 	 0.3333 	 -0.0125 	 0.0176 	 215.5127
  0.6790 	 0.3333 	 -0.0112 	 0.0093 	 145.3392
  0.7407 	 0.3333 	 -0.0052 	 -0.0013 	 53.6994
  0.8025 	 0.3333 	 -0.0015 	 -0.0080 	 81.8250
  0.8642 	 0.3333 	 -0.0034 	 -0.0119 	 123.5375
  0.9259 	 0.3333 	 -0.0065 	 -0.0153 	 166.6214
  0.0617 	 0.3704 	 0.0028 	 -0.0194 	 196.2910
  0.1235 	 0.3704 	 0.0030 	 -0.0159 	 161.7009
  0.1852 	 0.3704 	 -0.0012 	 -0.0095 	 95.6974
  0.2469 	 0.3704 	 -0.0042 	 -0.0063 	 75.7752
  0.3086 	 0.3704 	 -0.0004 	 -0.0003 	 5.4798
  0.3704 	 0.3704 	 0.0058 	 0.0116 	 129.8195
  0.4321 	 0.3704 	 0.0063 	 0.0215 	 224.0994
  0.4938 	 0.3704 	 0.0011 	 0.0251 	 251.1291
  0.5556 	 0.3704 	 -0.0051 	 0.0241 	 246.7463
  0.6173 	 0.3704 	 -0.0070 	 0.0178 	 191.7399
  0.6790 	 0.3704 	 -0.0024 	 0.0058 	 62.8093
  0.7407 	 0.3704 	 0.0033 	 -0.0044 	 54.9810
  0.8025 	 0.3704 	 0.0044 	 -0.0078 	 89.7591
  0.8642 	 0.3704 	 0.0002 	 -0.0088 	 88.4253
  0.9259 	 0.3704 	 -0.0041 	 -0.0139 	 145.0299
  0.0617 	 0.4074 	 -0.0025 	 -0.0198 	 199.6084
  0.1235 	 0.4074 	 -0.0030 	 -0.0154 	 156.8322
  0.1852 	 0.4074 	 -0.0068 	 -0.0061 	 91.5087
  0.2469 	 0.4074 	 -0.0101 	 -0.0054 	 114.1807
  0.3086 	 0.4074 	 -0.0086 	 -0.0032 	 92.1631
  0.3704 	 0.4074 	 -0.0012 	 0.0075 	 75.8214
  0.4321 	 0.4074 	 0.0023 	 0.0217 	 217.9399
  0.4938 	 0.4074 	 0.0005 	 0.0276 	 275.6407
  0.5556 	 0.4074 	 -0.0022 	 0.0260 	 260.5364
  0.6173 	 0.4074 	 -0.0010 	 0.0161 	 161.5459
  0.6790 	 0.4074 	 0.0062 	 0.0013 	 63.3148
  0.7407 	 0.4074 	 0.0093 	 -0.0054 	 107.4221
  0.8025 	 0.4074 	 0.0086 	 -0.0068 	 109.5646
  0.8642 	 0.4074 	 0.0043 	 -0.0054 	 69.2250
  0.9259 	 0.4074 	 0.0016 	 -0.0132 	 133.0281
  0.0617 	 0.4444 	 -0.0047 	 -0.0184 	 189.6160
  0.1235 	 0.4444 	 -0.0102 	 -0.0131 	 166.0513
  0.1852 	 0.4444 	 -0.0119 	 -0.0049 	 128.6341
  0.2469 	 0.4444 	 -0.0109 	 -0.0060 	 124.1959
  0.3086 	 0.4444 	 -0.0121 	 -0.0029 	 124.7644
  0.3704 	 0.4444 	 -0.0092 	 0.0026 	 95.4139
  0.4321 	 0.4444 	 -0.0027 	 0.0198 	 199.7727
  0.4938 	 0.4444 	 -0.0003 	 0.0275 	 275.4235
  0.5556 	 0.4444 	 0.0014 	 0.0254 	 254.6173
  0.6173 	 0.4444 	 0.0063 	 0.0127 	 142.1634
  0.6790 	 0.4444 	 0.0126 	 -0.0019 	 127.7981
  0.7407 	 0.4444 	 0.0108 	 -0.0046 	 117.6244
  0.8025 	 0.4444 	 0.0096 	 -0.0071 	 118.9895
  0.8642 	 0.4444 	 0.0109 	 -0.0038 	 115.6572
  0.9259 	 0.4444 	 0.0081 	 -0.0117 	 142.5137
  0.0617 	 0.4815 	 -0.0038 	 -0.0145 	 149.7623
  0.1235 	 0.4815 	 -0.0088 	 -0.0102 	 134.3609
  0.1852 	 0.4815 	 -0.0094 	 -0.0062 	 112.1484
  0.2469 	 0.4815 	 -0.0098 	 -0.0052 	 110.8995
  0.3086 	 0.4815 	 -0.0107 	 -0.0022 	 109.3188
  0.3704 	 0.4815 	 -0.0134 	 0.0030 	 137.7392
  0.4321 	 0.4815 	 -0.0082 	 0.0146 	 167.5902
  0.4938 	 0.4815 	 -0.0009 	 0.0253 	 252.8784
  0.5556 	 0.4815 	 0.0049 	 0.0223 	 228.2871
  0.6173 	 0.4815 	 0.0140 	 0.0072 	 157.4373
  0.6790 	 0.4815 	 0.0108 	 0.0003 	 107.5692
  0.7407 	 0.4815 	 0.0101 	 -0.0038 	 107.5896
  0.8025 	 0.4815 	 0.0083 	 -0.0058 	 100.9476
  0.8642 	 0.4815 	 0.0084 	 -0.0056 	 100.6053
  0.9259 	 0.4815 	 0.0076 	 -0.0092 	 119.0576
  0.0617 	 0.5185 	 -0.0029 	 -0.0114 	 117.7777
  0.1235 	 0.5185 	 -0.0064 	 -0.0085 	 106.2620
  0.1852 	 0.5185 	 -0.0075 	 -0.0060 	 95.6264
  0.2469 	 0.5185 	 -0.0084 	 -0.0045 	 95.3811
  0.3086 	 0.5185 	 -0.0095 	 -0.0018 	 96.2342
  0.3704 	 0.5185 	 -0.0097 	 0.0034 	 103.2964
